opinion,user_description,review
Opinión sobre Oficina 9038 en Madrid,"Nada recomendable a fecha de hoy, se están aprovechando del covid y no dan servicios, es una desvergüenza",1.0
Opinión sobre BBVA,"Con 16 años abri cuenta en Caixa Catalunya cobrando mi nomina y hasta hoy que tengo 67, ahora es BBVA. Que diferencia cuando era Caixa Catalunya. BBVA se ha dedicado a cerrar oficinas y dejarnos sin atención ni servicio. En mi barrio una sola oficina, grandes colas, el servicio de atención telefónica deficiente totalmente. Está claro que no le importamos nada. Lo peor es que los otros bancos no son mejores tampoco. Muy decepcionada. Buscare  si encuentro un banco que me atienda y me entienda.",1.0
Opinión sobre BBVA,Cobran muchisimas comisiones el peor banco que e probado,1.0
Opinión sobre BBVA,"Empatia 0. En resumen como la mayoría de los bancos, usureros a más no poder.  Mis condiciones de mi cuenta las cambian tras confinamiento, sin aviso ninguno y habiendo pedido una ampliación de mi hipoteca abierta por la situación actual. 14 años pagando sin falta y sin pedir nada.. En resumen",1.0
Opinión sobre Cuenta Online Sin Comisiones,"Mala oficina mala atención, cajero cerrado desde la pandemia. Fatal trato al cliente y poca empatia.",4.0
Opinión sobre BBVA,"COMISIONES ABUSIVAS BBVA!!!! NO RECOMIENDO ESTE BANCO!!!! Llevo 1 año reclamando comisiones abusivas, me dicen que harán todo lo posible para solucionarlo y que me llamarán para darme una solución y jamás lo hacen!! Cero resolutivos!! Cero profesionalidad!! Y aún por encima pagando 300e de comisiones en 1 año para recibir este trato malo malisimo. El gestor online **** no sirve para nada. Muy decepcionada con mi oficina **** por ineficiencia",1.0
Opinión sobre BBVA,"opino que quien utiliza la ocultación de información por beneficio propio no merece credibilidad....Entiendo que es una empresa que busca beneficios pero vender algo como rápido y fácil para que les facilites IBAN y DNI y no tengas noticias en 10 días....no soy experta, pero en esta era tecnológica 10 días con mis documentos sin noticias me produce inseguridad, debería avisarse primero",1.0
Opinión sobre BBVA,"Tras solicitar el alta online, mandar un IBAN activo y una copia de DNI algo que te venden como rápido y sencillo... al terminar el proceso me dicen que tardan 10 días en comprobar mi identidad....eso si, si lo haces por videollamada parece ser más rápido pero de eso te enteras cuando ya has enviado toda la documentación y se queda a disposición de la entidad durante 10 días antes de saber si has abierto la cuenta....48h razonable, 72h entendible....10 días, vamos ni que fuera una instancia...",1.0
Opinión sobre Oficina 7911 en Madrid,Llevo un mes y de momento todo perfecto y a la hora de abrir las cuenta online me costo un poco (por ser la primera vez) la recomiendo,1.0
Opinión sobre BBVA,"Después de muchos años sin pagar ni un euro de comisiones, este año 300 €. Cada movimiento en cuenta 60 céntimos más. La barra de pan, en plena pandemia gracias a BBVA y a la recomendación de pagar por tarjeta me salía a 1,60€. Voy a la oficina y me indican que igual si me saco un seguro de estudiará la condonación. Sin comentarios...",1.0
Opinión sobre Préstamo Estudios Superiores a 2 años,"El peor banco sin duda. Su insistencia en que hagas todo por internet es exasperante, para que luego pase esto: por increible que parezca, llevo tres cuartos de hora intentando averiguar como demonios pagar un tributo municipal por web, y no hay forma de encontrar por dónde se hace. Sé que se puede porque lo hice el año pasado, pero no encuentro la opción. Si no son capaces de ofrecer algo tan básico claramente en los menús de operaciones, apaga y vámonos. No queda otra opción que ir a la oficin",4.0
